State/UT,Capital,Famous Food 1,Famous Food 2,Famous Food 3,Famous Food 4,Famous Food 5
Andhra Pradesh,Amaravati,Pesarattu,Gongura Pachadi,Pulihora,Andhra Chicken Curry,Pootharekulu
Arunachal Pradesh,Itanagar,Thukpa,Momos,Zan,Lukter,Bamboo Shoot Fry
Assam,Dispur (Guwahati),Assam Laksa,Khaar,Masor Tenga,Pitha,Duck Curry
Bihar,Patna,Litti Chokha,Khaja,Sattu Paratha,Bihari Kebabs,Thekua
Chhattisgarh,Raipur,Chila,Fara,Muthia,Bafauri,Dehrori
Goa,Panaji,Goan Fish Curry,Bebinca,Vindaloo,Sorpotel,Prawn Balchao
Gujarat,Gandhinagar,Dhokla,Khandvi,Fafda-Jalebi,Undhiyu,Thepla
Haryana,Chandigarh,Bajra Khichdi,Kadhi Pakora,Hara Dhania Cholia,Kachri Ki Sabzi,Churma
Himachal Pradesh,Shimla,Siddu,Madra,Tudkiya Bhath,Babru,Chha Gosht
Jharkhand,Ranchi,Dhuska,Rugra,Chilka Roti,Thekua,Handia
Karnataka,Bengaluru,Masala Dosa,Bisi Bele Bath,Ragi Mudde,Mangalore Buns,Maddur Vada
Kerala,Thiruvananthapuram,Kerala Sadya,Appam with Stew,Puttu Kadala,Karimeen Pollichathu,Malabar Biryani
Madhya Pradesh,Bhopal,Poha-Jalebi,Bhopali Gosht Korma,Dal Bafla,Bhutte Ka Kees,Shikanji
Maharashtra,Mumbai,Vada Pav,Pav Bhaji,Misal Pav,Bombay Sandwich,Keema Pav
Manipur,Imphal,Eromba,Chamthong,Singju,Chak-hao Kheer,Kangshoi
Meghalaya,Shillong,Jadoh,Tungrymbai,Nakham Bitchi,Dohneiiong,Pukhlein
Mizoram,Aizawl,Bai,Sawhchiar,Vawksa Rep,Koat Pitha,Panch Phoran Torkari
Nagaland,Kohima,Smoked Pork,Bamboo Shoot Curry,Axone Dishes,Galho,Rice Beer
Odisha,Bhubaneswar,Dahibara Aloodum,Pakhala Bhata,Rasagola,Chhena Poda,Fish Besara
Punjab,Chandigarh,Amritsari Kulcha,Makki Roti Sarson Saag,Chole Bhature,Lassi,Paneer Tikka
Rajasthan,Jaipur,Dal Baati Churma,Gatte Ki Sabzi,Laal Maas,Pyaaz Kachori,Ghewar
Sikkim,Gangtok,Momos,Thukpa,Phagshapa,Sel Roti,Gundruk Soup
Tamil Nadu,Chennai,Idli Sambar,Dosa,Pongal,Chettinad Chicken,Filter Coffee
Telangana,Hyderabad,Hyderabadi Biryani,Haleem,Irani Chai,Double Ka Meetha,Pathar Ka Gosht
Tripura,Agartala,Mui Borok,Kosoi Bwtwi,Bamboo Shoot Pickle,Wahan Mosdeng,Chakhwi
Uttar Pradesh,Lucknow,Tunday Kabab,Lucknowi Biryani,Nihari,Basket Chaat,Sheermal
Uttarakhand,Dehradun,Kafuli,Aloo Ke Gutke,Garhwal Ka Fannah,Phaanu,Singori
West Bengal,Kolkata,Rosogolla,Mishti Doi,Kosha Mangsho,Kathi Roll,Fish Curry
Andaman & Nicobar Islands,Port Blair,Fish Curry,Lobster Masala,Coconut Prawn Curry,Grilled Tuna,Amritsari Kulcha
Chandigarh,Chandigarh,Chole Bhature,Butter Chicken,Amritsari Kulcha,Golgappa,Kebabs
Dadra & Nagar Haveli and Daman & Diu,Daman,Vada Pav,Jetty Roll,Daman Na Rotla,Fish Fry,Mutton Curry
Delhi,New Delhi,Chole Bhature,Paratha,Butter Chicken,Golgappa,Kebabs
Jammu & Kashmir,Srinagar/Jammu,Wazwan,Rogan Josh,Gushtaba,Yakhni,Nadru Monje
Ladakh,Leh,Skyu,Thukpa,Momos,Butter Tea,Khambir Bread
Lakshadweep,Kavaratti,Tuna Curry,Coconut Rice,Mas Min Curry,Fried Fish,Coconut Burfi
Puducherry,Puducherry,Creole Fish Curry,Prawn Rougaille,Dosa,Bonda,Pondicherry Biryani
